i,j
1,1
4,1
5,1
6,1
12,1
13,1
39,1
40,1
41,1
43,1
51,1
52,1
53,1
54,1
55,1
56,1
57,1
58,1
61,1
62,1
63,1
64,1
65,1
66,1
67,1
71,1
72,1
73,1
74,1
75,1
76,1
1,2
19,2
21,2
22,2
23,2
24,2
43,2
46,2
47,2
48,2
49,2
55,2
56,2
57,2
3,4
3,5
4,5
76,5
78,5
3,6
4,6
77,6
78,6
3,7
72,7
3,8
6,8
77,8
78,8
3,9
4,9
6,9
13,9
77,9
78,9
3,10
4,10
6,10
13,10
39,10
41,10
71,10
72,10
77,10
78,10
3,11
4,11
5,11
12,11
13,11
52,11
53,11
55,11
56,11
57,11
61,11
62,11
63,11
64,11
65,11
66,11
67,11
76,11
3,12
4,12
41,12
76,12
78,12
3,13
4,13
6,13
13,13
77,13
78,13
3,14
4,14
6,14
41,14
66,14
71,14
72,14
77,14
78,14
3,15
4,15
6,15
13,15
77,15
78,15
3,16
13,16
39,16
41,16
64,16
66,16
71,16
72,16
77,16
78,16
3,17
4,17
6,17
13,17
41,17
77,17
78,17
3,18
4,18
5,18
12,18
13,18
52,18
61,18
62,18
63,18
64,18
65,18
66,18
67,18
76,18
1,19
21,19
22,19
23,19
24,19
43,19
46,19
47,19
48,19
49,19
1,20
19,20
21,20
22,20
23,20
34,20
35,20
1,21
5,21
6,21
12,21
43,21
51,21
52,21
53,21
55,21
56,21
62,21
63,21
65,21
66,21
67,21
71,21
1,22
5,22
6,22
12,22
39,22
40,22
43,22
51,22
52,22
53,22
54,22
55,22
56,22
57,22
58,22
61,22
62,22
63,22
64,22
67,22
71,22
72,22
73,22
74,22
76,22
1,23
5,23
6,23
12,23
22,23
43,23
51,23
53,23
55,23
57,23
61,23
62,23
63,23
64,23
65,23
67,23
74,23
1,24
4,24
5,24
6,24
12,24
13,24
39,24
40,24
41,24
43,24
52,24
53,24
54,24
55,24
56,24
57,24
58,24
61,24
62,24
63,24
64,24
65,24
66,24
67,24
71,24
72,24
73,24
74,24
75,24
76,24
6,25
7,25
10,25
15,25
16,25
17,25
24,25
26,25
27,25
28,25
29,25
30,25
31,25
32,25
33,25
34,25
35,25
36,25
37,25
38,25
39,25
40,25
13,26
41,26
71,26
77,26
78,26
75,28
13,29
52,29
64,29
75,29
76,29
5,30
12,30
13,30
52,30
61,30
64,30
72,30
75,30
76,30
1,31
13,31
41,31
43,31
61,31
64,31
72,31
75,31
76,31
75,32
78,32
13,33
61,33
75,33
39,34
75,34
75,35
77,36
78,36
77,37
78,37
13,38
39,38
53,38
61,38
64,38
75,38
39,39
39,41
39,42
41,42
1,43
5,43
6,43
12,43
13,43
39,43
40,43
41,43
43,43
52,43
53,43
55,43
56,43
57,43
63,43
64,43
65,43
66,43
67,43
71,43
72,43
73,43
74,43
76,43
1,44
12,44
22,44
24,44
40,44
43,44
49,44
51,44
55,44
56,44
57,44
61,44
63,44
74,44
75,44
1,45
19,45
21,45
22,45
23,45
24,45
43,45
46,45
47,45
48,45
49,45
55,45
56,45
57,45
1,46
5,46
12,46
21,46
22,46
23,46
24,46
43,46
49,46
51,46
52,46
53,46
54,46
55,46
56,46
57,46
62,46
63,46
64,46
67,46
72,46
73,46
74,46
76,46
1,47
5,47
12,47
13,47
21,47
22,47
23,47
24,47
43,47
49,47
51,47
52,47
53,47
54,47
55,47
56,47
57,47
58,47
61,47
62,47
63,47
64,47
67,47
76,47
1,48
5,48
12,48
13,48
21,48
22,48
23,48
24,48
43,48
49,48
51,48
52,48
53,48
54,48
55,48
56,48
57,48
61,48
62,48
63,48
64,48
73,48
74,48
76,48
1,49
4,49
5,49
6,49
12,49
13,49
39,49
40,49
41,49
43,49
52,49
53,49
54,49
55,49
56,49
57,49
58,49
61,49
62,49
63,49
64,49
65,49
66,49
67,49
71,49
72,49
73,49
74,49
75,49
76,49
1,50
12,50
22,50
23,50
24,50
43,50
49,50
51,50
53,50
55,50
56,50
57,50
61,50
63,50
1,51
4,51
6,51
22,51
40,51
43,51
66,51
67,51
72,51
3,52
4,52
5,52
6,52
12,52
13,52
39,52
40,52
41,52
52,52
54,52
57,52
58,52
64,52
65,52
66,52
67,52
71,52
72,52
73,52
74,52
76,52
77,52
78,52
3,53
4,53
5,53
6,53
12,53
13,53
39,53
40,53
41,53
52,53
58,53
61,53
65,53
66,53
67,53
71,53
72,53
73,53
74,53
76,53
77,53
78,53
3,54
4,54
5,54
6,54
12,54
13,54
39,54
40,54
41,54
52,54
65,54
66,54
67,54
71,54
73,54
76,54
77,54
78,54
3,55
4,55
5,55
6,55
12,55
13,55
39,55
40,55
41,55
52,55
65,55
66,55
67,55
71,55
73,55
76,55
77,55
78,55
3,56
4,56
5,56
6,56
12,56
13,56
39,56
40,56
41,56
52,56
58,56
61,56
65,56
66,56
67,56
71,56
72,56
73,56
74,56
76,56
77,56
78,56
3,57
4,57
5,57
6,57
12,57
13,57
39,57
40,57
41,57
52,57
58,57
61,57
65,57
66,57
67,57
71,57
72,57
73,57
74,57
76,57
77,57
78,57
3,58
4,58
5,58
6,58
12,58
13,58
39,58
40,58
41,58
52,58
61,58
65,58
66,58
67,58
69,58
71,58
72,58
73,58
74,58
76,58
77,58
78,58
3,59
4,59
6,59
12,59
13,59
39,59
40,59
41,59
52,59
65,59
66,59
67,59
69,59
71,59
72,59
73,59
74,59
76,59
77,59
78,59
3,60
4,60
5,60
6,60
12,60
13,60
39,60
40,60
41,60
52,60
65,60
66,60
67,60
69,60
71,60
73,60
76,60
77,60
78,60
3,61
4,61
6,61
12,61
13,61
39,61
40,61
41,61
52,61
65,61
66,61
67,61
69,61
71,61
72,61
73,61
74,61
76,61
77,61
78,61
3,62
4,62
13,62
52,62
64,62
67,62
3,63
4,63
13,63
39,63
40,63
41,63
65,63
66,63
67,63
71,63
73,63
3,64
4,64
6,64
13,64
77,64
78,64
3,65
4,65
77,65
78,65
3,66
4,66
77,66
78,66
3,67
4,67
77,67
78,67
4,68
6,68
71,68
72,68
77,68
78,68
39,70
40,70
41,70
69,70
73,70
39,71
39,72
