i,j
1,2
7,2
9,2
10,2
12,2
13,2
14,2
16,2
20,2
22,2
23,2
24,2
25,2
26,2
27,2
32,2
35,2
1,3
7,3
10,3
16,3
20,3
26,3
1,4
13,4
19,4
23,4
30,4
1,5
7,5
10,5
16,5
26,5
1,6
7,6
8,6
9,6
10,6
14,6
16,6
17,6
19,6
20,6
23,6
25,6
26,6
27,6
31,6
1,7
27,7
28,7
27,8
28,8
27,9
27,10
28,10
7,11
10,11
14,11
25,11
26,11
7,15
14,15
23,15
28,16
18,19
28,19
28,20
37,20
7,21
24,21
25,21
26,21
27,21
28,23
28,26
27,28
28,29
28,30
7,33
17,33
18,34
28,34
28,35
7,36
20,38
7,39
8,39
9,39
12,39
14,39
16,39
17,39
19,39
20,39
22,39
23,39
24,39
25,39
27,39
29,39
30,39
31,39
