i,j
18,1
1,2
3,2
4,2
5,2
6,2
7,2
8,2
9,2
10,2
11,2
12,2
13,2
14,2
15,2
16,2
18,3
18,4
18,5
18,6
3,7
18,7
1,8
3,8
6,8
7,8
17,8
19,8
20,8
1,9
3,9
6,9
7,9
17,9
19,9
20,9
1,10
3,10
6,10
7,10
17,10
19,10
20,10
1,11
3,11
6,11
7,11
19,11
1,12
3,12
6,12
7,12
17,12
19,12
20,12
1,13
3,13
6,13
7,13
17,13
19,13
20,13
1,14
3,14
6,14
7,14
17,14
19,14
20,14
1,15
3,15
6,15
7,15
17,15
19,15
20,15
1,16
3,16
6,16
7,16
17,16
19,16
20,16
1,17
3,17
6,17
7,17
17,17
19,17
20,17
18,19
1,20
3,20
6,20
7,20
17,20
19,20
20,20
1,21
3,21
6,21
7,21
17,21
19,21
20,21
1,22
3,22
6,22
7,22
19,22
1,23
6,23
7,23
17,23
20,23
1,24
6,24
7,24
21,24
22,24
3,25
7,25
21,26
22,26
21,27
22,27
21,28
22,28
21,29
22,29
21,30
22,30
21,31
22,31
21,32
22,32
