i,j
1,2
10,2
13,2
17,2
18,2
11,3
3,4
20,4
5,6
20,6
3,8
5,8
7,8
9,8
10,8
11,8
12,8
13,8
14,8
15,8
16,8
17,8
18,8
19,8
20,8
21,8
22,8
23,8
24,8
5,16
52,21
1,25
7,25
10,25
22,25
1,26
31,26
1,27
22,27
1,28
17,28
18,28
21,28
22,28
1,29
20,29
1,30
3,30
20,30
22,30
22,32
31,32
1,33
7,33
10,33
17,33
18,33
20,33
22,33
24,33
31,33
1,34
3,34
11,34
17,34
18,34
31,34
31,35
1,36
3,36
5,36
10,36
11,36
16,36
17,36
18,36
19,36
20,36
21,36
22,36
5,37
7,37
11,37
13,37
16,37
17,37
18,37
20,37
21,37
22,37
23,37
24,37
1,38
3,38
5,38
7,38
13,38
16,38
17,38
18,38
20,38
22,38
24,38
31,38
14,39
17,40
18,40
3,41
20,41
20,42
1,43
20,43
22,43
31,43
1,44
22,44
1,45
23,45
1,46
22,47
31,47
17,48
18,48
20,49
20,50
5,51
20,53
5,54
22,55
