i,j
1,2
8,2
1,4
3,4
5,4
5,6
7,6
8,6
8,9
8,10
14,10
20,10
8,11
12,13
14,15
17,15
20,15
22,15
14,16
17,18
20,18
17,19
20,19
20,21
22,23
10,24
1,25
3,25
5,25
7,25
8,25
10,25
12,25
1,26
3,26
5,26
7,26
8,26
10,26
12,26
20,26
