i,j
1,2
3,2
4,2
5,2
6,2
7,2
8,2
9,2
10,2
11,2
12,2
13,2
14,2
15,2
16,2
17,2
18,2
19,2
20,2
21,2
22,2
23,2
24,2
25,2
26,2
27,2
28,2
29,2
39,2
41,2
37,9
40,9
43,9
49,9
40,10
49,10
49,11
37,12
40,12
42,12
45,12
37,13
42,13
44,13
45,13
49,13
49,14
49,16
49,17
49,18
37,19
40,19
45,19
49,20
49,21
49,22
49,23
49,24
49,26
49,28
49,29
5,30
8,30
9,30
13,30
14,30
17,30
18,30
19,30
23,30
26,30
29,30
5,31
8,31
9,31
13,31
14,31
17,31
18,31
19,31
23,31
26,31
29,31
32,33
49,33
1,34
3,34
4,34
5,34
6,34
7,34
8,34
9,34
10,34
11,34
12,34
13,34
14,34
15,34
16,34
17,34
18,34
19,34
20,34
21,34
22,34
23,34
24,34
25,34
26,34
27,34
28,34
29,34
39,34
41,34
5,35
8,35
9,35
13,35
14,35
17,35
18,35
19,35
23,35
26,35
29,35
36,37
6,38
7,38
17,38
23,38
28,38
36,39
37,39
40,39
47,39
49,39
49,40
45,46
49,46
47,48
49,50
49,51
