i,j
1,2
3,2
22,2
1,3
22,3
1,4
3,4
4,4
5,4
22,4
1,5
3,5
4,5
5,5
22,5
1,6
3,6
22,6
1,7
3,7
4,7
5,7
22,7
1,8
3,8
4,8
5,8
22,8
1,9
3,9
22,9
1,10
3,10
4,10
5,10
22,10
1,11
3,11
22,11
1,12
3,12
4,12
5,12
22,12
1,13
3,13
4,13
5,13
22,13
1,14
3,14
4,14
5,14
6,14
22,14
1,15
3,15
4,15
5,15
6,15
22,15
1,16
3,16
4,16
5,16
6,16
22,16
1,17
3,17
4,17
5,17
6,17
22,17
1,18
3,18
4,18
5,18
6,18
22,18
1,19
3,19
4,19
5,19
6,19
22,19
1,20
3,20
4,20
5,20
6,20
22,20
1,21
3,21
4,21
5,21
6,21
22,21
3,23
4,23
5,23
6,23
3,24
4,24
5,24
6,24
7,25
8,25
9,25
10,25
11,25
12,25
14,25
15,25
16,25
17,25
19,25
20,25
21,25
35,25
7,26
8,26
9,26
10,26
11,26
12,26
14,26
15,26
16,26
17,26
19,26
20,26
21,26
35,26
8,27
9,27
11,27
8,28
9,28
11,28
8,29
9,29
11,29
8,30
9,30
11,30
8,31
9,31
11,31
8,32
9,32
11,32
8,33
9,33
11,33
8,34
9,34
11,34
3,36
13,36
22,36
37,36
